ServiceApprovalNumber,"Provider Approval Number",ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,"Conditions on Approval",NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,"Last Service Approval Transfer Date","Last Visit Date","Long Day Care","Preschool/Kindergarten - Part of a School","Preschool/Kindergarten - Stand alone","Outside school Hours Care - After School","Outside school Hours Care - Before School","Outside school Hours Care - Vacation Care",Other,"Annual Monday Start Time","Annual Monday End Time","Annual Tuesday Start Time","Annual Tuesday End Time","Annual Wednesday Start Time","Annual Wednesday End Time","Annual Thursday Start Time","Annual Thursday End Time","Annual Friday Start Time","Annual Friday End Time","Annual Saturday Start Time","Annual Saturday End Time","Annual Sunday Start Time","Annual Sunday End Time","School Terms Only Session 1 Monday Start Time","School Terms Only Session 1 Monday End Time","School Terms Only Session 1 Tuesday Start Time","School Terms Only Session 1 Tuesday End Time","School Terms Only Session1 Wednesday Start Time","School Terms Only Session1 Wednesday End Time","School Terms Only Session1 Thursday Start Time","School Terms Only Session1 Thursday End Time","School Terms Only Session 1 Friday Start Time","School Terms Only Session 1 Friday End Time","School Terms Only Session 1 Saturday Start Time","School Terms Only Session 1 Saturday End Time","School Terms Only Session1 Sunday Start Time","School Terms Only Session 1 Sunday End Time","School Terms Only Session 2 Monday Start Time","School Terms Only Session 2 Monday End Time","School Terms Only Session 2 Tuesday Start Time","School Terms Only Session 2 Tuesday End Time","School Terms Only Session 2 Wednesday Start Time","School Terms Only Session 2 Wednesday End Time","School Terms Only Session 2 Thursday Start Time","School Terms Only Session2 Thursday End Time","School Terms Only Session 2 Friday Start Time","School Terms Only Session 2 Friday End Time","School Terms Only Session 2 Saturday Start Time","School Terms Only Session 2 Saturday End Time","School Terms Only Session 2 Sunday Start Time","School Terms Only Session 2 Sunday End Time","Holiday Care Monday Start Time","Holiday Care Monday End Time","Holiday Care Tuesday Start Time","Holiday Care Tuesday End Time","Holiday Care Wednesday Start Time","Holiday Care Wednesday End Time","Holiday Care Thursday Start Time","Holiday Care Thursday End Time","Holiday Care Friday Start Time","Holiday Care Friday End Time","Holiday Care Saturday Start Time","Holiday Care Saturday End Time","Holiday Care Sunday Start Time","Holiday Care Sunday End Time","Temporarily Closed"
SE-00013733,PR-40021735,"Holy Name Early Learning and Care Service","Catholic Education Western Australia Limited","Centre-Based Care","25 Marchamley Place",CARLISLE,WA,6101,0862546900,,,112,06/07/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2019",01/01/2020,"January 2026",Yes,No,No,No,No,No,No,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00013737,PR-40002234,"TeamKids - Truscott Street Public School","TEAM HOLIDAY PTY LTD","Centre-Based Care","Truscott Street Public School Truscott Street","NORTH RYDE",NSW,2113,1300035000,,,80,10/09/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2023","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Oct 2017",23/07/2024,"December 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00013738,PR-40001620,"The After School Klub Hilltop Road","The After School Klub Pty Ltd","Centre-Based Care","Hilltop Road Public School, 81 Hilltop Road",MERRYLANDS,NSW,2160,1300827500,,,75,19/12/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jul 2025","Working Towards NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Mar 2020",21/07/2026,"May 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,08:55,07:00,08:55,07:00,08:55,07:00,08:55,07:00,08:55,,,,,14:55,18:00,14:55,18:00,14:55,18:00,14:55,18:00,14:55,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00013739,PR-40022356,"SCECS OSHC St Christopher's Holsworthy","SYDNEY CATHOLIC EARLY CHILDHOOD SERVICES LTD","Centre-Based Care","St Christopher's Catholic Primary School, 205 Heathcote Rd",HOLSWORTHY,NSW,2173,0295688628,,,176,12/07/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Jun 2026","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Jul 2021",21/12/2020,"April 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,,,,,14:40,18:00,14:40,18:00,14:40,18:00,14:40,18:00,14:40,18:00,,,,,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,No
SE-00013740,PR-00007166,"OLR_Wyoming Community OSHC","Gosford Regional Community Services","Centre-Based Care","92 Glennie Street",WYOMING,NSW,2250,0243237483,,,80,14/09/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2023","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2018",,"November 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,,,,,14:50,18:30,14:50,18:30,14:50,18:30,14:50,18:30,14:50,18:30,,,,,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,No
SE-00013741,PR-40011145,"Penrith Anglican College TheirCare","TheirCare Pty Ltd","Centre-Based Care","338-356 Wentworth Road","ORCHARD HILLS",NSW,2748,1300072410,N/A,,72,31/01/2013,"Working Towards NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Aug 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2022",30/01/2023,"June 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,06:30,08:00,06:30,08:00,06:30,08:00,06:30,08:00,06:30,08:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,06:30,18:00,,,,,No
SE-00013746,PR-00002539,"Camp Australia - Loreto Kirribilli OSHC","Camp Australia Pty Limited","Centre-Based Care","85 Carrabella Street",KIRRIBILLI,NSW,2061,0422005427,N/A,,23,23/05/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2022","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Mar 2017",,"May 2026",No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00013750,PR-00005144,"Head Start OOSH","MABECK PTY LTD","Centre-Based Care","5 Sandringham Drive, Cecil Hills Community Centre","CECIL HILLS",NSW,2171,0474118776,,,69,04/12/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2019",,"May 2026",No,No,No,Yes,Yes,Yes,No,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,07:00,18:30,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,,,,,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,07:00,19:00,,,,,No
SE-00013751,PR-40002234,"TeamKids - McCallums Hill Public School","TEAM HOLIDAY PTY LTD","Centre-Based Care","McCallum Hill Public School, Moorefields Rd & McCallum Street",ROSELANDS,NSW,2196,1300035000,0280786088,,45,17/06/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2018",29/01/2021,"February 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:00,18:15,15:00,18:15,15:00,18:15,15:00,18:15,15:00,18:15,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00013752,PR-40004402,"Chittaway Bay OSHCLUB","OSHCLUB PTY LTD","Centre-Based Care","101 Chittaway Road","CHITTAWAY BAY",NSW,2261,0437517640,N/A,,80,26/07/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2019",29/01/2019,"July 2026",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,14:55,18:00,14:55,18:00,14:55,18:00,14:55,18:00,14:55,18:00,,,,,,,,,,,,,,,,,,,No
SE-00013754,PR-40011145,"The Scots School TheirCare","TheirCare Pty Ltd","Centre-Based Care","The Scots School Albury, Perry Street",ALBURY,NSW,2640,1300072410,N/A,,29,13/09/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Mar 2020",29/04/2019,"February 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00013756,PR-00002539,"Camp Australia - Immanuel Primary School OSHC","Camp Australia Pty Limited","Centre-Based Care","Saratoga Drive","NOVAR GARDENS",SA,5040,0452247972,N/A,,60,26/04/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2018","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Meeting NQS","Working Towards NQS","Jan 2017",,"October 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,08:30,07:00,08:30,07:00,08:30,07:00,08:30,07:00,08:30,,,,,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00013760,PR-40001620,"The After School Klub Ourimbah","The After School Klub Pty Ltd","Centre-Based Care","121 Pacific Highway",OURIMBAH,NSW,2258,0431590620,N/A,,80,26/07/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2023","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2019",15/10/2018,"March 2026",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,14:50,18:30,14:50,18:30,14:50,18:30,14:50,18:30,14:50,18:30,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,,,,,,,,,,,,,,,No
SE-00013761,PR-40004402,"Valley View OSHCLUB","OSHCLUB PTY LTD","Centre-Based Care","Valley View Public School, Chamberlain Road",WYOMING,NSW,2250,0474453705,N/A,,45,26/07/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2019",28/01/2020,"November 2025",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,14:30,18:30,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,,,,,,,,,,,,,,,No
SE-00013763,PR-00002539,"Camp Australia - Mannering Park Public School OSHC","Camp Australia Pty Limited","Centre-Based Care","Vales Road","MANNERING PARK",NSW,2259,0413876221,N/A,,45,13/08/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2024","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2019",,"July 2026",No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,14:55,18:30,14:55,18:30,14:55,18:30,14:55,18:30,14:55,18:30,,,,,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,06:30,08:30,,,,,,,,,,,,,,,,,,,No
SE-00013765,PR-00002530,"The King's School OSHC- Extend","Extend (Australia) Pty Ltd","Centre-Based Care","87-129 Pennant Hills Road","NORTH PARRAMATTA",NSW,2151,0412204694,N/A,,24,13/09/2013,"Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Dec 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2020",30/01/2023,"February 2026",No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,16:00,18:30,16:00,18:30,16:00,18:30,15:00,18:30,16:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00013767,PR-00007981,"South Turramurra OOSH","South Turramurra Out of School Care Incorporated","Centre-Based Care","South Turramurra Public School, 174 Kissing Point Road",TURRAMURRA,NSW,2074,0291444769,,"•	The approved provider must ensure that the education and care service only provides education and care for children over preschool age.  •	The approved provider must ensure that, for each child being educated and cared for by the service, the education and care service premises has at least 2.11 square metres of unencumbered indoor space.  ",300,27/09/2013,"Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Oct 2025","Meeting NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2020",,"September 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,08:40,07:00,08:40,07:00,08:40,07:00,08:40,07:00,08:40,,,,,15:05,18:15,15:05,18:15,15:05,18:15,15:05,18:15,15:05,18:15,,,,,07:00,18:15,07:00,18:15,07:00,18:15,07:00,18:15,07:00,18:15,,,,,No
SE-00013768,PR-00007982,"Thornleigh West OOSH","Thornleigh West Out Of School Hours Care Incorporated","Centre-Based Care","Thornleigh West Public School, Giblett Avenue",THORNLEIGH,NSW,2120,0299807150,,"The approved provider must ensure that the education and care service only provides education and care for children over preschool age. The approved provider must ensure that, for each child being educated and cared for by the service, the education and care service premises has at least 2.42 square metres of unencumbered indoor space.",200,27/06/2013,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Nov 2024","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Apr 2023",,"August 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:00,18:15,15:00,18:15,15:00,18:15,15:00,18:15,15:00,18:15,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,07:30,18:15,07:30,18:15,07:30,18:15,07:30,18:15,07:30,18:15,,,,,No
SE-00013769,PR-00007983,"Curly Kids OOSH","Curl Curl North Public School Parents & Citizens' Association","Centre-Based Care","Curl Curl North Public School, Playfair Road","NORTH CURL CURL",NSW,2099,"0421 337 836",0299056895,"The approved provider must ensure that the education and care service only provides education and care for children over preschool age. The approved provider must ensure that, for each child being educated and cared for by the service, the education and care service premises has at least 2.4 square metres of unencumbered indoor space.",225,01/10/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2023","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2020",,"April 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:10,18:30,15:10,18:30,15:10,18:30,15:10,18:30,15:10,18:30,,,,,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,06:30,08:45,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00013770,PR-40004402,"Sacred Heart Cabramatta OSHCLUB","OSHCLUB PTY LTD","Centre-Based Care","Sacred Heart Primary School, Gilmore Street",CABRAMATTA,NSW,2166,0474453705,,,124,19/11/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2020",29/01/2019,"September 2025",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,,,,,,,,,,,,,,,No
SE-00013777,PR-40010191,"KIDS KLUB","P B & JAY PTY LTD","Centre-Based Care","St Therese's Catholic Primary School, 448 Blaxland Road",DENISTONE,NSW,2114,0478596804,,,43,02/12/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Aug 2025","Working Towards NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","Working Towards NQS","Jan 2023",30/01/2018,"June 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00013778,PR-40022356,"SCECS OSHC St Brendan's Central Bankstown","SYDNEY CATHOLIC EARLY CHILDHOOD SERVICES LTD","Centre-Based Care","St Brendan's Catholic Primary School, 18 Cambridge Avenue",BANKSTOWN,NSW,2200,0402217373,,,92,14/11/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2020",20/04/2026,"July 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,07:00,09:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00013779,PR-00007980,"Turtle Cove Early Learning Centre Wandina","Marilandy Pty Ltd","Centre-Based Care","94 Ilma Rise",WANDINA,WA,6530,0899646689,,,59,20/12/2012,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Apr 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","May 2019",,"August 2026",Yes,No,No,No,No,No,No,06:15,17:45,06:15,17:45,06:15,17:45,06:15,17:45,06:15,17:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00013780,PR-00002539,"Camp Australia - St Mary's Star of The Sea OSHC","Camp Australia Pty Limited","Centre-Based Care","24-26 Croydon Road",HURSTVILLE,NSW,2220,0403613507,N/A,,79,16/08/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2023","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Dec 2020",,"September 2026",No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,07:00,08:30,07:00,08:30,07:00,08:30,07:00,08:30,07:00,08:30,,,,,15:10,18:00,15:10,18:00,15:10,18:00,15:10,18:00,15:10,18:00,,,,,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,No
SE-00013783,PR-40021679,"Ambrose School Age Care St Bernadette's, Lalor Park","CATHOLIC DIOCESE OF PARRAMATTA SERVICES LTD","Centre-Based Care","St Bernadette's Primary School, 18 Wheeler Street","LALOR PARK",NSW,2147,0459864684,0000000000,,90,12/07/2013,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Oct 2024","Meeting NQS","Working Towards NQS","Working Towards NQS","Meeting NQS","Meeting NQS","Meeting NQS","Working Towards NQS","Working Towards NQS","May 2023",05/07/2022,"April 2026",No,No,No,Yes,Yes,No,No,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,06:30,18:30,,,,,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,15:00,18:30,,,,,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,06:30,09:00,,,,,,,,,,,,,,,,,,,No
SE-00013784,PR-00004515,"The Infants' Home Child & Family Services - Gorton House","Infants Home Ashfield","Centre-Based Care","17 Henry Street",ASHFIELD,NSW,2131,0297994844,0297994122,,84,26/06/2013,"Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Meeting NQS","Jul 2026","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Feb 2020",,"June 2026",Yes,No,No,No,No,No,Yes,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009406,PR-00003898,"Tumut Kindy Early Learning Centre","Tumut Kindy Early Learning Centre Pty Ltd","Centre-Based Care","142 Russell Street",TUMUT,NSW,2720,"02 6947 9922",,,48,23/12/2008,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Sep 2026","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Jun 2021",,"August 2026",Yes,No,No,No,No,No,No,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,07:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009407,PR-00003627,"Tumut Community Preschool","Tumut Community Preschool Incorporated","Centre-Based Care","Tumut Preschool, 50 Howick Street",TUMUT,NSW,2720,0269472462,,,59,14/06/2009,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Apr 2026","Exceeding NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Oct 2025",,"March 2026",No,No,Yes,No,No,No,No,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,08:30,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009408,PR-00003915,"Tuntable Falls Early Childhood Centre","Tuntable Falls Early Childhood Centre Inc","Centre-Based Care","Upper Tuntable Falls Road",NIMBIN,NSW,2480,"02 6689 1179",,,20,30/08/2006,"Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Dec 2025","Exceeding NQS","Meeting NQS","Exceeding NQS","Meeting NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Exceeding NQS","Aug 2019",,"November 2025",No,No,Yes,No,No,No,No,,,,,,,,,,,,,,,,,08:30,16:00,08:30,16:00,08:30,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
SE-00009409,PR-00004521,"Tuross Little Lambs Preschool","Ashley Lamb","Centre-Based Care","12 Andrew Avenue","TUROSS HEAD",NSW,2537,0244739190,0264934711,,36,09/06/2008,"Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Feb 2025","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Meeting NQS","Nov 2019",26/02/2018,"January 2026",Yes,No,No,No,No,No,No,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No
